HL-058_S64_R1_001	058_turbinella
HL-061_S65_R1_001	061_turbinella
HL-064_S66_R1_001	064_turbinella
HL-069_S1_R1_001	069_grisea
HL-070_S67_R1_001	070_gambelii
HL-074_S2_R1_001	074_gambelii
HL-075_S3_R1_001	075_grisea
HL-077_S68_R1_001	077_gambelii
HL-079_S4_R1_001	079_turbinella
HL-081_S69_R1_001	081_grisea
HL-085_S5_R1_001	085_turbinella
HL-086_S70_R1_001	086_grisea
HL-088_S71_R1_001	088_turbinella
HL-164_S72_R1_001	164_grisea
HL-165_S73_R1_001	165_grisea
HL-166_S74_R1_001	166_grisea
HL-167_S6_R1_001	167_grisea
HL-168_S75_R1_001	168_grisea
HL-170_S76_R1_001	170_grisea
HL-171_S77_R1_001	171_grisea
HL-172_S78_R1_001	172_grisea
HL-173_S7_R1_001	173_grisea
HL-174_S79_R1_001	174_grisea
HL-176_S80_R1_001	176_grisea
HL-178_S81_R1_001	178_grisea
HL-182_S82_R1_001	182_gambelii
HL-190_S8_R1_001	190_gambelii
HL-210_S83_R1_001	210_gambelii
HL-266_S84_R1_001	266_grisea
HL-270_S9_R1_001	270_gambelii
HL-271_S10_R1_001	271_grisea
HL-272_S85_R1_001	272_grisea
HL-274_S86_R1_001	274_grisea
HL-275_S87_R1_001	275_gambelii
HL-276_S11_R1_001	276_gambelii
HL-279_S12_R1_001	279_turbinella
HL-280_S13_R1_001	280_turbinella
HL-282_S88_R1_001	282_turbinella
HL-283_S89_R1_001	283_grisea
HL-284_S90_R1_001	284_turbinella
HL-285_S91_R1_001	285_grisea
HL-286_S14_R1_001	286_gambelii
HL-290_S92_R1_001	290_gambelii
HL-297_S93_R1_001	297_turbinella
HL-298_S94_R1_001	298_turbinella
HL-300_S95_R1_001	300_gambelii
HL-301_S96_R1_001	301_grisea
HL-302_S97_R1_001	302_turbinella
HL-303_S15_R1_001	303_gambelii
HL-304_S98_R1_001	304_gambelii
HL-305_S16_R1_001	305_gambelii
HL-306_S99_R1_001	306_gambelii
HL-307_S100_R1_001	307_gambelii
HL-308_S101_R1_001	308_gambelii
HL-309_S102_R1_001	309_gambelii
HL-310_S103_R1_001	310_grisea
HL-311_S17_R1_001	311_gambelii
HL-312_S104_R1_001	312_grisea
HL-313_S105_R1_001	313_grisea
HL-314_S106_R1_001	314_gambelii
HL-315_S107_R1_001	315_gambelii
HL-316_S108_R1_001	316_grisea
HL-317_S18_R1_001	317_grisea
HL-318_S19_R1_001	318_grisea
HL-319_S20_R1_001	319_gambelii
HL-320_S109_R1_001	320_gambelii
HL-321_S110_R1_001	321_grisea
HL-322_S21_R1_001	322_gambelii
HL-323_S22_R1_001	323_grisea
HL-324_S111_R1_001	324_grisea
HL-325_S23_R1_001	325_grisea
HL-327_S113_R1_001	327_grisea
HL-328_S24_R1_001	328_gambelii
HL-329_S114_R1_001	329_grisea
HL-384_S25_R1_001	384_gambelii
HL-385_S116_R1_001	385_grisea
HL-386_S26_R1_001	386_grisea
HL-387_S117_R1_001	387_grisea
HL-388_S118_R1_001	388_grisea
HL-389_S27_R1_001	389_grisea
HL-390_S119_R1_001	390_grisea
HL-392_S120_R1_001	392_grisea
HL-394_S29_R1_001	394_grisea
HL-395_S121_R1_001	395_grisea
HL-398_S122_R1_001	398_gambelii
HL-400_S123_R1_001	400_gambelii
HL-401_S30_R1_001	401_gambelii
HL-402_S124_R1_001	402_gambelii
HL-403_S125_R1_001	403_gambelii
HL-404_S126_R1_001	404_gambelii
HL-406_S31_R1_001	406_grisea
HL-408_S32_R1_001	408_grisea
HL-410_S33_R1_001	410_grisea
HL-415_S127_R1_001	415_gambelii
HL-417_S128_R1_001	417_gambelii
HL-419_S37_R1_001	419_gambelii
HL-420_S129_R1_001	420_gambelii
HL-421_S38_R1_001	421_gambelii
HL-422_S39_R1_001	422_gambelii
HL-424_S41_R1_001	424_gambelii
HL-425_S130_R1_001	425_gambelii
HL-426_S131_R1_001	426_grisea
HL-427_S42_R1_001	427_grisea
HL-428_S43_R1_001	428_grisea
HL-430_S44_R1_001	430_grisea
HL-431_S45_R1_001	431_turbinella
HL-432_S132_R1_001	432_turbinella
HL-434_S133_R1_001	434_grisea
HL-436_S134_R1_001	436_grisea
HL-438_S47_R1_001	438_grisea
HL-439_S135_R1_001	439_grisea
HL-440_S48_R1_001	440_grisea
HL-441_S49_R1_001	441_turbinella
HL-442_S136_R1_001	442_grisea
HL-443_S137_R1_001	443_turbinella
HL-444_S50_R1_001	444_turbinella
HL-445_S51_R1_001	445_turbinella
HL-446_S52_R1_001	446_turbinella
HL-447_S53_R1_001	447_turbinella
HL-448_S54_R1_001	448_turbinella
HL-449_S55_R1_001	449_grisea
HL-450_S56_R1_001	450_turbinella
HL-451_S138_R1_001	451_turbinella
HL-452_S139_R1_001	452_grisea
HL-453_S140_R1_001	453_turbinella
HL-454_S57_R1_001	454_turbinella
HL-455_S58_R1_001	455_turbinella
HL-456_S59_R1_001	456_turbinella
HL-457_S141_R1_001	457_turbinella
HL-458_S60_R1_001	458_turbinella
HL-459_S61_R1_001	459_turbinella
HL-461_S62_R1_001	461_turbinella
HL-462_S63_R1_001	462_turbinella
HL-466_S142_R1_001	466_turbinella
