058_turbinella	058_turbinella
061_turbinella	061_turbinella
064_turbinella	064_turbinella
069_grisea	069_grisea
070_gambelii	070_gambelii
074_gambelii	074_gambelii
077_gambelii	077_gambelii
079_turbinella	079_turbinella
081_grisea	081_grisea
085_turbinella	085_turbinella
086_grisea	086_grisea
088_turbinella	088_turbinella
164_grisea	xxx
165_grisea	xxx
166_grisea	xxx
167_grisea	xxx
168_grisea	xxx
170_grisea	xxx
171_grisea	xxx
172_grisea	xxx
173_grisea	xxx
174_grisea	xxx
176_grisea	xxx
178_grisea	xxx
182_gambelii	xxx
190_gambelii	xxx
210_gambelii	xxx
266_grisea	266_grisea
270_gambelii	270_gambelii
271_grisea	271_grisea
272_grisea	272_grisea
274_grisea	274_grisea
275_gambelii	275_gambelii
276_gambelii	276_gambelii
279_turbinella	279_turbinella
280_turbinella	280_turbinella
282_turbinella	282_turbinella
283_grisea	283_grisea
284_turbinella	284_turbinella
285_grisea	285_grisea
286_gambelii	286_gambelii
290_gambelii	290_gambelii
297_turbinella	297_turbinella
298_turbinella	298_turbinella
300_gambelii	300_gambelii
301_grisea	301_grisea
302_turbinella	302_turbinella
303_gambelii	303_gambelii
304_gambelii	304_gambelii
305_gambelii	305_gambelii
306_gambelii	xxx
307_gambelii	xxx
308_gambelii	xxx
309_gambelii	xxx
310_grisea	xxx
312_grisea	xxx
313_grisea	xxx
314_gambelii	xxx
315_gambelii	xxx
316_grisea	xxx
317_grisea	xxx
318_grisea	xxx
319_gambelii	xxx
320_gambelii	xxx
321_grisea	xxx
322_gambelii	xxx
323_grisea	xxx
324_grisea	xxx
325_grisea	xxx
327_grisea	xxx
329_grisea	xxx
385_grisea	xxx
386_grisea	xxx
387_grisea	xxx
388_grisea	xxx
389_grisea	xxx
390_grisea	xxx
392_grisea	xxx
394_grisea	xxx
395_grisea	xxx
398_gambelii	xxx
400_gambelii	xxx
402_gambelii	xxx
403_gambelii	xxx
404_gambelii	xxx
406_grisea	xxx
408_grisea	xxx
410_grisea	xxx
415_gambelii	xxx
417_gambelii	xxx
419_gambelii	xxx
420_gambelii	xxx
421_gambelii	xxx
422_gambelii	xxx
424_gambelii	xxx
425_gambelii	xxx
426_grisea	xxx
427_grisea	xxx
428_grisea	xxx
430_grisea	xxx
431_turbinella	xxx
432_turbinella	xxx
434_grisea	xxx
436_grisea	xxx
438_grisea	xxx
439_grisea	xxx
440_grisea	xxx
441_turbinella	xxx
443_turbinella	xxx
444_turbinella	xxx
445_turbinella	xxx
447_turbinella	xxx
448_turbinella	xxx
449_grisea	xxx
450_turbinella	xxx
451_turbinella	xxx
452_grisea	xxx
453_turbinella	xxx
454_turbinella	xxx
455_turbinella	xxx
456_turbinella	xxx
457_turbinella	xxx
458_turbinella	xxx
459_turbinella	xxx
461_turbinella	xxx
462_turbinella	xxx
466_turbinella	xxx
Reference	Outgroup
