txs1,txs2,lon1,lat1,lon2,lat2,hav_dist_m,hav_dist_km,Fst_old,Fst,code,pairtype
PAY_GAM,PAY_GRI,-111.40913,33.92240,-111.38978,34.05626,15008.26,15.00826,0.154394516,0.149379809,"Same site, different taxa",Sympatric-sympatric
PAY_GAM,PAY_TUR,-111.40913,33.92240,-111.41393,33.92014,509.1814,0.5091814,0.153654593,0.148415422,"Same site, different taxa",Sympatric-sympatric
PAY_GAM,GIL_GAM,-111.40913,33.92240,-108.22531,32.89978,316976.6,316.9766,0.023153137,0.022850204,"Different site, same taxa",Sympatric-sympatric
PAY_GAM,GIL_GRI,-111.40913,33.92240,-108.22315,32.89962,317170.1,317.1701,0.157804671,0.152361694,"Different site, different taxa",Sympatric-sympatric
PAY_GAM,LIN_GAM,-111.40913,33.92240,-105.35724,33.54037,561806.5,561.8065,0.024461994,0.023981355,"Different site, same taxa",Sympatric-sympatric
PAY_GAM,LIN_GRI,-111.40913,33.92240,-105.22693,33.62868,572893.4,572.8934,0.143577833,0.13879772,"Different site, different taxa",Sympatric-sympatric
PAY_GAM,GLO_GRI,-111.40913,33.92240,-110.62272,33.60176,81059.61,81.05961,0.156604123,0.151531259,"Different site, different taxa",Sympatric-sympatric
PAY_GAM,GLO_TUR,-111.40913,33.92240,-110.62250,33.60321,81006.65,81.00665,0.159276442,0.153999868,"Different site, different taxa",Sympatric-sympatric
PAY_GAM,SJN_GAM,-111.40913,33.92240,-107.85627,37.46103,508189,508.189,0.02602284,0.025613228,"Different site, same taxa",Allopatric-sympatric
PAY_GAM,SFE_GRI,-111.40913,33.92240,-105.29552,35.29932,580603.1,580.6031,0.118296312,0.114517295,"Different site, different taxa",Allopatric-sympatric
PAY_GAM,GLV_TUR,-111.40913,33.92240,-114.32909,35.11573,298936.8,298.9368,0.162377,0.157031532,"Different site, different taxa",Allopatric-sympatric
PAY_GRI,PAY_TUR,-111.38978,34.05626,-111.41393,33.92014,15315.59,15.31559,0.001532298,0.0014582,"Same site, different taxa",Sympatric-sympatric
PAY_GRI,GIL_GAM,-111.38978,34.05626,-108.22531,32.89978,320770.6,320.7706,0.150340942,0.145664459,"Different site, different taxa",Sympatric-sympatric
PAY_GRI,GIL_GRI,-111.38978,34.05626,-108.22315,32.89962,320961.2,320.9612,0.014210021,0.013710485,"Different site, same taxa",Sympatric-sympatric
PAY_GRI,LIN_GAM,-111.38978,34.05626,-105.35724,33.54037,560913.6,560.9136,0.13420408,0.129992841,"Different site, different taxa",Sympatric-sympatric
PAY_GRI,LIN_GRI,-111.38978,34.05626,-105.22693,33.62868,571707.2,571.7072,0.013746235,0.013291183,"Different site, same taxa",Sympatric-sympatric
PAY_GRI,GLO_GRI,-111.38978,34.05626,-110.62272,33.60176,87127.21,87.12721,0.003977654,0.003910749,"Different site, same taxa",Sympatric-sympatric
PAY_GRI,GLO_TUR,-111.38978,34.05626,-110.62250,33.60321,87049.86,87.04986,0.00373889,0.003559562,"Different site, different taxa",Sympatric-sympatric
PAY_GRI,SJN_GAM,-111.38978,34.05626,-107.85627,37.46103,495432.3,495.4323,0.145407762,0.14113229,"Different site, different taxa",Allopatric-sympatric
PAY_GRI,SFE_GRI,-111.38978,34.05626,-105.29552,35.29932,574696.6,574.6966,0.016380126,0.015757739,"Different site, same taxa",Allopatric-sympatric
PAY_GRI,GLV_TUR,-111.38978,34.05626,-114.32909,35.11573,294047.8,294.0478,0.011186973,0.010872862,"Different site, different taxa",Allopatric-sympatric
PAY_TUR,GIL_GAM,-111.41393,33.92014,-108.22531,32.89978,317306.2,317.3062,0.150342938,0.145386602,"Different site, different taxa",Sympatric-sympatric
PAY_TUR,GIL_GRI,-111.41393,33.92014,-108.22315,32.89962,317499.8,317.4998,0.018483335,0.017969913,"Different site, different taxa",Sympatric-sympatric
PAY_TUR,LIN_GAM,-111.41393,33.92014,-105.35724,33.54037,562237.6,562.2376,0.134529392,0.130181159,"Different site, different taxa",Sympatric-sympatric
PAY_TUR,LIN_GRI,-111.41393,33.92014,-105.22693,33.62868,573329.6,573.3296,0.017692364,0.017168081,"Different site, different taxa",Sympatric-sympatric
PAY_TUR,GLO_GRI,-111.41393,33.92014,-110.62272,33.60176,81349.58,81.34958,0.004883135,0.004676063,"Different site, different taxa",Sympatric-sympatric
PAY_TUR,GLO_TUR,-111.41393,33.92014,-110.62250,33.60321,81297.41,81.29741,0.001844706,0.001820013,"Different site, same taxa",Sympatric-sympatric
PAY_TUR,SJN_GAM,-111.41393,33.92014,-107.85627,37.46103,508660.2,508.6602,0.144900651,0.140363999,"Different site, different taxa",Allopatric-sympatric
PAY_TUR,SFE_GRI,-111.41393,33.92014,-105.29552,35.29932,581100.2,581.1002,0.018216296,0.017604564,"Different site, different taxa",Allopatric-sympatric
PAY_TUR,GLV_TUR,-111.41393,33.92014,-114.32909,35.11573,298657.8,298.6578,0.007033576,0.006925674,"Different site, same taxa",Allopatric-sympatric
GIL_GAM,GIL_GRI,-108.22531,32.89978,-108.22315,32.89962,202.5249,0.2025249,0.153470942,0.148229167,"Same site, different taxa",Sympatric-sympatric
GIL_GAM,LIN_GAM,-108.22531,32.89978,-105.35724,33.54037,276438.7,276.4387,0.018148443,0.017942897,"Different site, same taxa",Sympatric-sympatric
GIL_GAM,LIN_GRI,-108.22531,32.89978,-105.22693,33.62868,290631.6,290.6316,0.138922668,0.13426627,"Different site, different taxa",Sympatric-sympatric
GIL_GAM,GLO_GRI,-108.22531,32.89978,-110.62272,33.60176,236462.7,236.4627,0.152595911,0.147906698,"Different site, different taxa",Sympatric-sympatric
GIL_GAM,GLO_TUR,-108.22531,32.89978,-110.62250,33.60321,236494.7,236.4947,0.155501174,0.150621672,"Different site, different taxa",Sympatric-sympatric
GIL_GAM,SJN_GAM,-108.22531,32.89978,-107.85627,37.46103,508864.3,508.8643,0.026775091,0.026362172,"Different site, same taxa",Allopatric-sympatric
GIL_GAM,SFE_GRI,-108.22531,32.89978,-105.29552,35.29932,379811.7,379.8117,0.11378673,0.110178805,"Different site, different taxa",Allopatric-sympatric
GIL_GAM,GLV_TUR,-108.22531,32.89978,-114.32909,35.11573,614751.4,614.7514,0.159302852,0.154296996,"Different site, different taxa",Allopatric-sympatric
GIL_GRI,LIN_GAM,-108.22315,32.89962,-105.35724,33.54037,276249,276.249,0.137834624,0.133219537,"Different site, different taxa",Sympatric-sympatric
GIL_GRI,LIN_GRI,-108.22315,32.89962,-105.22693,33.62868,290443.6,290.4436,0.002080723,0.002121429,"Different site, same taxa",Sympatric-sympatric
GIL_GRI,GLO_GRI,-108.22315,32.89962,-110.62272,33.60176,236658.1,236.6581,0.014495322,0.014051149,"Different site, different taxa",Sympatric-sympatric
GIL_GRI,GLO_TUR,-108.22315,32.89962,-110.62250,33.60321,236690.1,236.6901,0.019751254,0.01904941,"Different site, different taxa",Sympatric-sympatric
GIL_GRI,SJN_GAM,-108.22315,32.89962,-107.85627,37.46103,508868.2,508.8682,0.148886356,0.144018313,"Different site, different taxa",Allopatric-sympatric
GIL_GRI,SFE_GRI,-108.22315,32.89962,-105.29552,35.29932,379682.3,379.6823,0.013202689,0.012707133,"Different site, same taxa",Allopatric-sympatric
GIL_GRI,GLV_TUR,-108.22315,32.89962,-114.32909,35.11573,614941,614.941,0.028674346,0.027932802,"Different site, different taxa",Allopatric-sympatric
LIN_GAM,LIN_GRI,-105.35724,33.54037,-105.22693,33.62868,15578.48,15.57848,0.122761349,0.118735202,"Same site, different taxa",Sympatric-sympatric
