ID,Species,Location,LOC,BIN,SPE,TxS
HL-058,Quercus turbinella,Payson,PAY,1,3,3
HL-061,Quercus turbinella,Payson,PAY,1,3,3
HL-064,Quercus turbinella,Payson,PAY,1,3,3
HL-069,Quercus grisea,Payson,PAY,1,2,2
HL-070,Quercus gambelii,Payson,PAY,1,1,1
HL-074,Quercus gambelii,Payson,PAY,1,1,1
HL-077,Quercus gambelii,Payson,PAY,1,1,1
HL-079,Quercus turbinella,Payson,PAY,1,3,3
HL-081,Quercus grisea,Payson,PAY,1,2,2
HL-085,Quercus turbinella,Payson,PAY,1,3,3
HL-086,Quercus grisea,Payson,PAY,1,2,2
HL-088,Quercus turbinella,Payson,PAY,1,3,3
HL-164,Quercus grisea,Santa Fe,SFE,5,2,11
HL-165,Quercus grisea,Santa Fe,SFE,5,2,11
HL-166,Quercus grisea,Santa Fe,SFE,5,2,11
HL-167,Quercus grisea,Santa Fe,SFE,5,2,11
HL-168,Quercus grisea,Santa Fe,SFE,5,2,11
HL-170,Quercus grisea,Santa Fe,SFE,5,2,11
HL-171,Quercus grisea,Santa Fe,SFE,5,2,11
HL-172,Quercus grisea,Santa Fe,SFE,5,2,11
HL-173,Quercus grisea,Santa Fe,SFE,5,2,11
HL-174,Quercus grisea,Santa Fe,SFE,5,2,11
HL-176,Quercus grisea,Santa Fe,SFE,5,2,11
HL-178,Quercus grisea,Santa Fe,SFE,5,2,11
HL-182,Quercus gambelii,Lincoln,LIN,3,1,8
HL-190,Quercus gambelii,Lincoln,LIN,3,1,8
HL-210,Quercus gambelii,Lincoln,LIN,3,1,8
HL-266,Quercus grisea,Payson,PAY,1,2,2
HL-270,Quercus gambelii,Payson,PAY,1,1,1
HL-271,Quercus grisea,Payson,PAY,1,2,2
HL-272,Quercus grisea,Payson,PAY,1,2,2
HL-274,Quercus grisea,Payson,PAY,1,2,2
HL-275,Quercus gambelii,Payson,PAY,1,1,1
HL-276,Quercus gambelii,Payson,PAY,1,1,1
HL-279,Quercus turbinella,Payson,PAY,1,3,3
HL-280,Quercus turbinella,Payson,PAY,1,3,3
HL-282,Quercus turbinella,Payson,PAY,1,3,3
HL-283,Quercus grisea,Payson,PAY,1,2,2
HL-284,Quercus turbinella,Payson,PAY,1,3,3
HL-285,Quercus grisea,Payson,PAY,1,2,2
HL-286,Quercus gambelii,Payson,PAY,1,1,1
HL-290,Quercus gambelii,Payson,PAY,1,1,1
HL-297,Quercus turbinella,Payson,PAY,1,3,3
HL-298,Quercus turbinella,Payson,PAY,1,3,3
HL-300,Quercus gambelii,Payson,PAY,1,1,1
HL-301,Quercus grisea,Payson,PAY,1,2,2
HL-302,Quercus turbinella,Payson,PAY,1,3,3
HL-303,Quercus gambelii,Payson,PAY,1,1,1
HL-304,Quercus gambelii,Payson,PAY,1,1,1
HL-305,Quercus gambelii,Payson,PAY,1,1,1
HL-306,Quercus gambelii,Gila,GIL,2,1,6
HL-307,Quercus gambelii,Gila,GIL,2,1,6
HL-308,Quercus gambelii,Gila,GIL,2,1,6
HL-309,Quercus gambelii,Gila,GIL,2,1,6
HL-310,Quercus grisea,Gila,GIL,2,2,7
HL-312,Quercus grisea,Gila,GIL,2,2,7
HL-313,Quercus grisea,Gila,GIL,2,2,7
HL-314,Quercus gambelii,Gila,GIL,2,1,6
HL-315,Quercus gambelii,Gila,GIL,2,1,6
HL-316,Quercus grisea,Gila,GIL,2,2,5
HL-317,Quercus grisea,Gila,GIL,2,2,7
HL-318,Quercus grisea,Gila,GIL,2,2,7
HL-319,Quercus gambelii,Gila,GIL,2,1,6
HL-320,Quercus gambelii,Gila,GIL,2,1,6
HL-321,Quercus grisea,Gila,GIL,2,2,7
HL-322,Quercus gambelii,Gila,GIL,2,1,6
HL-323,Quercus grisea,Gila,GIL,2,2,7
HL-324,Quercus grisea,Gila,GIL,2,2,7
HL-325,Quercus grisea,Gila,GIL,2,2,7
HL-327,Quercus grisea,Gila,GIL,2,2,7
HL-329,Quercus grisea,Gila,GIL,2,2,7
HL-385,Quercus grisea,Lincoln,LIN,3,2,9
HL-386,Quercus grisea,Lincoln,LIN,3,2,9
HL-387,Quercus grisea,Lincoln,LIN,3,2,9
HL-388,Quercus grisea,Lincoln,LIN,3,2,9
HL-389,Quercus grisea,Lincoln,LIN,3,2,9
HL-390,Quercus grisea,Lincoln,LIN,3,2,9
HL-392,Quercus grisea,Lincoln,LIN,3,2,9
HL-394,Quercus grisea,Lincoln,LIN,3,2,9
HL-395,Quercus grisea,Lincoln,LIN,3,2,9
HL-398,Quercus gambelii,Lincoln,LIN,3,1,8
HL-400,Quercus gambelii,Lincoln,LIN,3,1,8
HL-402,Quercus gambelii,Lincoln,LIN,3,1,8
HL-403,Quercus gambelii,Lincoln,LIN,3,1,8
HL-404,Quercus gambelii,Lincoln,LIN,3,1,8
HL-406,Quercus grisea,Lincoln,LIN,3,2,9
HL-408,Quercus grisea,Lincoln,LIN,3,2,9
HL-410,Quercus grisea,Lincoln,LIN,3,2,9
HL-415,Quercus gambelii,San Juan,SJN,6,1,10
HL-417,Quercus gambelii,San Juan,SJN,6,1,10
HL-419,Quercus gambelii,San Juan,SJN,6,1,10
HL-420,Quercus gambelii,San Juan,SJN,6,1,10
HL-421,Quercus gambelii,San Juan,SJN,6,1,10
HL-422,Quercus gambelii,San Juan,SJN,6,1,10
HL-424,Quercus gambelii,San Juan,SJN,6,1,10
HL-425,Quercus gambelii,San Juan,SJN,6,1,10
HL-426,Quercus grisea,Globe,GLO,4,2,4
HL-427,Quercus grisea,Globe,GLO,4,2,4
HL-428,Quercus grisea,Globe,GLO,4,2,4
HL-430,Quercus grisea,Globe,GLO,4,2,4
HL-431,Quercus turbinella,Globe,GLO,4,3,5
HL-432,Quercus turbinella,Globe,GLO,4,3,5
HL-434,Quercus grisea,Globe,GLO,4,2,4
HL-436,Quercus grisea,Globe,GLO,4,2,4
HL-438,Quercus grisea,Globe,GLO,4,2,4
HL-439,Quercus grisea,Globe,GLO,4,2,4
HL-440,Quercus grisea,Globe,GLO,4,2,4
HL-441,Quercus turbinella,Globe,GLO,4,3,5
HL-443,Quercus turbinella,Globe,GLO,4,3,5
HL-444,Quercus turbinella,Globe,GLO,4,3,5
HL-445,Quercus turbinella,Globe,GLO,4,3,5
HL-447,Quercus turbinella,Globe,GLO,4,3,5
HL-448,Quercus turbinella,Globe,GLO,4,3,5
HL-449,Quercus grisea,Globe,GLO,4,2,4
HL-450,Quercus turbinella,Globe,GLO,4,3,5
HL-451,Quercus turbinella,Globe,GLO,4,3,5
HL-452,Quercus grisea,Globe,GLO,4,2,4
HL-453,Quercus turbinella,Golden Valley,GVL,7,3,12
HL-454,Quercus turbinella,Golden Valley,GVL,7,3,12
HL-455,Quercus turbinella,Golden Valley,GVL,7,3,12
HL-456,Quercus turbinella,Golden Valley,GVL,7,3,12
HL-457,Quercus turbinella,Golden Valley,GVL,7,3,12
HL-458,Quercus turbinella,Golden Valley,GVL,7,3,12
HL-459,Quercus turbinella,Golden Valley,GVL,7,3,12
HL-461,Quercus turbinella,Golden Valley,GVL,7,3,12
HL-462,Quercus turbinella,Golden Valley,GVL,7,3,12
HL-466,Quercus turbinella,Golden Valley,GVL,7,3,12
