ID,Species,Location,LOC,BIN,SPE,TxS
069_grisea,Quercus grisea,Payson,PAY,1,2,2
070_gambelii,Quercus gambelii,Payson,PAY,1,1,1
074_gambelii,Quercus gambelii,Payson,PAY,1,1,1
077_gambelii,Quercus gambelii,Payson,PAY,1,1,1
081_grisea,Quercus grisea,Payson,PAY,1,2,2
086_grisea,Quercus grisea,Payson,PAY,1,2,2
164_grisea,Quercus grisea,Santa Fe,SFE,5,2,11
165_grisea,Quercus grisea,Santa Fe,SFE,5,2,11
166_grisea,Quercus grisea,Santa Fe,SFE,5,2,11
167_grisea,Quercus grisea,Santa Fe,SFE,5,2,11
168_grisea,Quercus grisea,Santa Fe,SFE,5,2,11
170_grisea,Quercus grisea,Santa Fe,SFE,5,2,11
171_grisea,Quercus grisea,Santa Fe,SFE,5,2,11
172_grisea,Quercus grisea,Santa Fe,SFE,5,2,11
173_grisea,Quercus grisea,Santa Fe,SFE,5,2,11
174_grisea,Quercus grisea,Santa Fe,SFE,5,2,11
176_grisea,Quercus grisea,Santa Fe,SFE,5,2,11
178_grisea,Quercus grisea,Santa Fe,SFE,5,2,11
182_gambelii,Quercus gambelii,Lincoln,LIN,3,1,6
190_gambelii,Quercus gambelii,Lincoln,LIN,3,1,6
210_gambelii,Quercus gambelii,Lincoln,LIN,3,1,6
266_grisea,Quercus grisea,Payson,PAY,1,2,2
270_gambelii,Quercus gambelii,Payson,PAY,1,1,1
271_grisea,Quercus grisea,Payson,PAY,1,2,2
272_grisea,Quercus grisea,Payson,PAY,1,2,2
274_grisea,Quercus grisea,Payson,PAY,1,2,2
275_gambelii,Quercus gambelii,Payson,PAY,1,1,1
276_gambelii,Quercus gambelii,Payson,PAY,1,1,1
283_grisea,Quercus grisea,Payson,PAY,1,2,2
285_grisea,Quercus grisea,Payson,PAY,1,2,2
286_gambelii,Quercus gambelii,Payson,PAY,1,1,1
290_gambelii,Quercus gambelii,Payson,PAY,1,1,1
300_gambelii,Quercus gambelii,Payson,PAY,1,1,1
301_grisea,Quercus grisea,Payson,PAY,1,2,2
303_gambelii,Quercus gambelii,Payson,PAY,1,1,1
304_gambelii,Quercus gambelii,Payson,PAY,1,1,1
305_gambelii,Quercus gambelii,Payson,PAY,1,1,1
306_gambelii,Quercus gambelii,Gila,GIL,2,1,4
307_gambelii,Quercus gambelii,Gila,GIL,2,1,4
308_gambelii,Quercus gambelii,Gila,GIL,2,1,4
309_gambelii,Quercus gambelii,Gila,GIL,2,1,4
310_grisea,Quercus grisea,Gila,GIL,2,2,5
312_grisea,Quercus grisea,Gila,GIL,2,2,5
313_grisea,Quercus grisea,Gila,GIL,2,2,5
314_gambelii,Quercus gambelii,Gila,GIL,2,1,4
315_gambelii,Quercus gambelii,Gila,GIL,2,1,4
316_grisea,Quercus grisea,Gila,GIL,2,2,5
317_grisea,Quercus grisea,Gila,GIL,2,2,5
318_grisea,Quercus grisea,Gila,GIL,2,2,5
319_gambelii,Quercus gambelii,Gila,GIL,2,1,4
320_gambelii,Quercus gambelii,Gila,GIL,2,1,4
321_grisea,Quercus grisea,Gila,GIL,2,2,5
