ID,Species,Location,LOC,BIN,SPE,TxS
058_turbinella,Quercus turbinella,Payson,PAY,1,3,3
061_turbinella,Quercus turbinella,Payson,PAY,1,3,3
064_turbinella,Quercus turbinella,Payson,PAY,1,3,3
070_gambelii,Quercus gambelii,Payson,PAY,1,1,1
074_gambelii,Quercus gambelii,Payson,PAY,1,1,1
077_gambelii,Quercus gambelii,Payson,PAY,1,1,1
079_turbinella,Quercus turbinella,Payson,PAY,1,3,3
085_turbinella,Quercus turbinella,Payson,PAY,1,3,3
088_turbinella,Quercus turbinella,Payson,PAY,1,3,3
182_gambelii,Quercus gambelii,Lincoln,LIN,3,1,6
190_gambelii,Quercus gambelii,Lincoln,LIN,3,1,6
210_gambelii,Quercus gambelii,Lincoln,LIN,3,1,6
270_gambelii,Quercus gambelii,Payson,PAY,1,1,1
275_gambelii,Quercus gambelii,Payson,PAY,1,1,1
276_gambelii,Quercus gambelii,Payson,PAY,1,1,1
279_turbinella,Quercus turbinella,Payson,PAY,1,3,3
280_turbinella,Quercus turbinella,Payson,PAY,1,3,3
282_turbinella,Quercus turbinella,Payson,PAY,1,3,3
284_turbinella,Quercus turbinella,Payson,PAY,1,3,3
286_gambelii,Quercus gambelii,Payson,PAY,1,1,1
290_gambelii,Quercus gambelii,Payson,PAY,1,1,1
297_turbinella,Quercus turbinella,Payson,PAY,1,3,3
298_turbinella,Quercus turbinella,Payson,PAY,1,3,3
300_gambelii,Quercus gambelii,Payson,PAY,1,1,1
302_turbinella,Quercus turbinella,Payson,PAY,1,3,3
303_gambelii,Quercus gambelii,Payson,PAY,1,1,1
304_gambelii,Quercus gambelii,Payson,PAY,1,1,1
305_gambelii,Quercus gambelii,Payson,PAY,1,1,1
306_gambelii,Quercus gambelii,Gila,GIL,2,1,4
307_gambelii,Quercus gambelii,Gila,GIL,2,1,4
308_gambelii,Quercus gambelii,Gila,GIL,2,1,4
309_gambelii,Quercus gambelii,Gila,GIL,2,1,4
314_gambelii,Quercus gambelii,Gila,GIL,2,1,4
315_gambelii,Quercus gambelii,Gila,GIL,2,1,4
319_gambelii,Quercus gambelii,Gila,GIL,2,1,4
320_gambelii,Quercus gambelii,Gila,GIL,2,1,4
322_gambelii,Quercus gambelii,Gila,GIL,2,1,4
398_gambelii,Quercus gambelii,Lincoln,LIN,3,1,6
400_gambelii,Quercus gambelii,Lincoln,LIN,3,1,6
402_gambelii,Quercus gambelii,Lincoln,LIN,3,1,6
403_gambelii,Quercus gambelii,Lincoln,LIN,3,1,6
404_gambelii,Quercus gambelii,Lincoln,LIN,3,1,6
415_gambelii,Quercus gambelii,San Juan,SJN,6,1,10
417_gambelii,Quercus gambelii,San Juan,SJN,6,1,10
419_gambelii,Quercus gambelii,San Juan,SJN,6,1,10
420_gambelii,Quercus gambelii,San Juan,SJN,6,1,10
421_gambelii,Quercus gambelii,San Juan,SJN,6,1,10
422_gambelii,Quercus gambelii,San Juan,SJN,6,1,10
424_gambelii,Quercus gambelii,San Juan,SJN,6,1,10
425_gambelii,Quercus gambelii,San Juan,SJN,6,1,10
431_turbinella,Quercus turbinella,Globe,GLO,4,3,9
432_turbinella,Quercus turbinella,Globe,GLO,4,3,9
441_turbinella,Quercus turbinella,Globe,GLO,4,3,9
443_turbinella,Quercus turbinella,Globe,GLO,4,3,9
444_turbinella,Quercus turbinella,Globe,GLO,4,3,9
445_turbinella,Quercus turbinella,Globe,GLO,4,3,9
447_turbinella,Quercus turbinella,Globe,GLO,4,3,9
448_turbinella,Quercus turbinella,Globe,GLO,4,3,9
450_turbinella,Quercus turbinella,Globe,GLO,4,3,9
451_turbinella,Quercus turbinella,Globe,GLO,4,3,9
453_turbinella,Quercus turbinella,Golden Valley,GVL,7,3,12
454_turbinella,Quercus turbinella,Golden Valley,GVL,7,3,12
455_turbinella,Quercus turbinella,Golden Valley,GVL,7,3,12
456_turbinella,Quercus turbinella,Golden Valley,GVL,7,3,12
457_turbinella,Quercus turbinella,Golden Valley,GVL,7,3,12
458_turbinella,Quercus turbinella,Golden Valley,GVL,7,3,12
459_turbinella,Quercus turbinella,Golden Valley,GVL,7,3,12
461_turbinella,Quercus turbinella,Golden Valley,GVL,7,3,12
462_turbinella,Quercus turbinella,Golden Valley,GVL,7,3,12
466_turbinella,Quercus turbinella,Golden Valley,GVL,7,3,12
