ID,Species,Location,LOC,BIN,SPE,TxS
058_turbinella,Quercus turbinella,Payson,PAY,1,3,3
061_turbinella,Quercus turbinella,Payson,PAY,1,3,3
064_turbinella,Quercus turbinella,Payson,PAY,1,3,3
069_grisea,Quercus grisea,Payson,PAY,1,2,2
079_turbinella,Quercus turbinella,Payson,PAY,1,3,3
081_grisea,Quercus grisea,Payson,PAY,1,2,2
085_turbinella,Quercus turbinella,Payson,PAY,1,3,3
086_grisea,Quercus grisea,Payson,PAY,1,2,2
088_turbinella,Quercus turbinella,Payson,PAY,1,3,3
164_grisea,Quercus grisea,Santa Fe,SFE,5,2,11
165_grisea,Quercus grisea,Santa Fe,SFE,5,2,11
166_grisea,Quercus grisea,Santa Fe,SFE,5,2,11
167_grisea,Quercus grisea,Santa Fe,SFE,5,2,11
168_grisea,Quercus grisea,Santa Fe,SFE,5,2,11
170_grisea,Quercus grisea,Santa Fe,SFE,5,2,11
171_grisea,Quercus grisea,Santa Fe,SFE,5,2,11
172_grisea,Quercus grisea,Santa Fe,SFE,5,2,11
173_grisea,Quercus grisea,Santa Fe,SFE,5,2,11
174_grisea,Quercus grisea,Santa Fe,SFE,5,2,11
176_grisea,Quercus grisea,Santa Fe,SFE,5,2,11
178_grisea,Quercus grisea,Santa Fe,SFE,5,2,11
266_grisea,Quercus grisea,Payson,PAY,1,2,2
271_grisea,Quercus grisea,Payson,PAY,1,2,2
272_grisea,Quercus grisea,Payson,PAY,1,2,2
274_grisea,Quercus grisea,Payson,PAY,1,2,2
279_turbinella,Quercus turbinella,Payson,PAY,1,3,3
280_turbinella,Quercus turbinella,Payson,PAY,1,3,3
282_turbinella,Quercus turbinella,Payson,PAY,1,3,3
283_grisea,Quercus grisea,Payson,PAY,1,2,2
284_turbinella,Quercus turbinella,Payson,PAY,1,3,3
285_grisea,Quercus grisea,Payson,PAY,1,2,2
297_turbinella,Quercus turbinella,Payson,PAY,1,3,3
298_turbinella,Quercus turbinella,Payson,PAY,1,3,3
301_grisea,Quercus grisea,Payson,PAY,1,2,2
302_turbinella,Quercus turbinella,Payson,PAY,1,3,3
310_grisea,Quercus grisea,Gila,GIL,2,2,5
312_grisea,Quercus grisea,Gila,GIL,2,2,5
313_grisea,Quercus grisea,Gila,GIL,2,2,5
316_grisea,Quercus grisea,Gila,GIL,2,2,5
317_grisea,Quercus grisea,Gila,GIL,2,2,5
318_grisea,Quercus grisea,Gila,GIL,2,2,5
321_grisea,Quercus grisea,Gila,GIL,2,2,5
323_grisea,Quercus grisea,Gila,GIL,2,2,5
324_grisea,Quercus grisea,Gila,GIL,2,2,5
325_grisea,Quercus grisea,Gila,GIL,2,2,5
327_grisea,Quercus grisea,Gila,GIL,2,2,5
329_grisea,Quercus grisea,Gila,GIL,2,2,5
385_grisea,Quercus grisea,Lincoln,LIN,3,2,7
386_grisea,Quercus grisea,Lincoln,LIN,3,2,7
387_grisea,Quercus grisea,Lincoln,LIN,3,2,7
388_grisea,Quercus grisea,Lincoln,LIN,3,2,7
389_grisea,Quercus grisea,Lincoln,LIN,3,2,7
390_grisea,Quercus grisea,Lincoln,LIN,3,2,7
392_grisea,Quercus grisea,Lincoln,LIN,3,2,7
394_grisea,Quercus grisea,Lincoln,LIN,3,2,7
395_grisea,Quercus grisea,Lincoln,LIN,3,2,7
406_grisea,Quercus grisea,Lincoln,LIN,3,2,7
408_grisea,Quercus grisea,Lincoln,LIN,3,2,7
410_grisea,Quercus grisea,Lincoln,LIN,3,2,7
426_grisea,Quercus grisea,Globe,GLO,4,2,8
427_grisea,Quercus grisea,Globe,GLO,4,2,8
428_grisea,Quercus grisea,Globe,GLO,4,2,8
430_grisea,Quercus grisea,Globe,GLO,4,2,8
431_turbinella,Quercus turbinella,Globe,GLO,4,3,9
432_turbinella,Quercus turbinella,Globe,GLO,4,3,9
434_grisea,Quercus grisea,Globe,GLO,4,2,8
436_grisea,Quercus grisea,Globe,GLO,4,2,8
438_grisea,Quercus grisea,Globe,GLO,4,2,8
439_grisea,Quercus grisea,Globe,GLO,4,2,8
440_grisea,Quercus grisea,Globe,GLO,4,2,8
441_turbinella,Quercus turbinella,Globe,GLO,4,3,9
443_turbinella,Quercus turbinella,Globe,GLO,4,3,9
444_turbinella,Quercus turbinella,Globe,GLO,4,3,9
445_turbinella,Quercus turbinella,Globe,GLO,4,3,9
447_turbinella,Quercus turbinella,Globe,GLO,4,3,9
448_turbinella,Quercus turbinella,Globe,GLO,4,3,9
449_grisea,Quercus grisea,Globe,GLO,4,2,8
450_turbinella,Quercus turbinella,Globe,GLO,4,3,9
451_turbinella,Quercus turbinella,Globe,GLO,4,3,9
452_grisea,Quercus grisea,Globe,GLO,4,2,8
453_turbinella,Quercus turbinella,Golden Valley,GVL,7,3,12
454_turbinella,Quercus turbinella,Golden Valley,GVL,7,3,12
455_turbinella,Quercus turbinella,Golden Valley,GVL,7,3,12
456_turbinella,Quercus turbinella,Golden Valley,GVL,7,3,12
457_turbinella,Quercus turbinella,Golden Valley,GVL,7,3,12
458_turbinella,Quercus turbinella,Golden Valley,GVL,7,3,12
459_turbinella,Quercus turbinella,Golden Valley,GVL,7,3,12
461_turbinella,Quercus turbinella,Golden Valley,GVL,7,3,12
462_turbinella,Quercus turbinella,Golden Valley,GVL,7,3,12
466_turbinella,Quercus turbinella,Golden Valley,GVL,7,3,12
