ID,Species,Location
058_turbinella,Quercus turbinella,Payson
061_turbinella,Quercus turbinella,Payson
064_turbinella,Quercus turbinella,Payson
069_grisea,Quercus grisea,Payson
070_gambelii,Quercus gambelii,Payson
074_gambelii,Quercus gambelii,Payson
077_gambelii,Quercus gambelii,Payson
079_turbinella,Quercus turbinella,Payson
081_grisea,Quercus grisea,Payson
085_turbinella,Quercus turbinella,Payson
086_grisea,Quercus grisea,Payson
088_turbinella,Quercus turbinella,Payson
164_grisea,Quercus grisea,Santa Fe
165_grisea,Quercus grisea,Santa Fe
166_grisea,Quercus grisea,Santa Fe
167_grisea,Quercus grisea,Santa Fe
168_grisea,Quercus grisea,Santa Fe
170_grisea,Quercus grisea,Santa Fe
171_grisea,Quercus grisea,Santa Fe
172_grisea,Quercus grisea,Santa Fe
173_grisea,Quercus grisea,Santa Fe
174_grisea,Quercus grisea,Santa Fe
176_grisea,Quercus grisea,Santa Fe
178_grisea,Quercus grisea,Santa Fe
182_gambelii,Quercus gambelii,Lincoln
190_gambelii,Quercus gambelii,Lincoln
210_gambelii,Quercus gambelii,Lincoln
266_grisea,Quercus grisea,Payson
270_gambelii,Quercus gambelii,Payson
271_grisea,Quercus grisea,Payson
272_grisea,Quercus grisea,Payson
274_grisea,Quercus grisea,Payson
275_gambelii,Quercus gambelii,Payson
276_gambelii,Quercus gambelii,Payson
279_turbinella,Quercus turbinella,Payson
280_turbinella,Quercus turbinella,Payson
282_turbinella,Quercus turbinella,Payson
283_grisea,Quercus grisea,Payson
284_turbinella,Quercus turbinella,Payson
285_grisea,Quercus grisea,Payson
286_gambelii,Quercus gambelii,Payson
290_gambelii,Quercus gambelii,Payson
297_turbinella,Quercus turbinella,Payson
298_turbinella,Quercus turbinella,Payson
300_gambelii,Quercus gambelii,Payson
301_grisea,Quercus grisea,Payson
302_turbinella,Quercus turbinella,Payson
303_gambelii,Quercus gambelii,Payson
304_gambelii,Quercus gambelii,Payson
305_gambelii,Quercus gambelii,Payson
306_gambelii,Quercus gambelii,Gila
307_gambelii,Quercus gambelii,Gila
308_gambelii,Quercus gambelii,Gila
309_gambelii,Quercus gambelii,Gila
310_grisea,Quercus grisea,Gila
312_grisea,Quercus grisea,Gila
313_grisea,Quercus grisea,Gila
314_gambelii,Quercus gambelii,Gila
315_gambelii,Quercus gambelii,Gila
316_grisea,Quercus grisea,Gila
317_grisea,Quercus grisea,Gila
318_grisea,Quercus grisea,Gila
319_gambelii,Quercus gambelii,Gila
320_gambelii,Quercus gambelii,Gila
321_grisea,Quercus grisea,Gila
322_gambelii,Quercus gambelii,Gila
323_grisea,Quercus grisea,Gila
324_grisea,Quercus grisea,Gila
325_grisea,Quercus grisea,Gila
327_grisea,Quercus grisea,Gila
329_grisea,Quercus grisea,Gila
385_grisea,Quercus grisea,Lincoln
386_grisea,Quercus grisea,Lincoln
387_grisea,Quercus grisea,Lincoln
388_grisea,Quercus grisea,Lincoln
389_grisea,Quercus grisea,Lincoln
390_grisea,Quercus grisea,Lincoln
392_grisea,Quercus grisea,Lincoln
394_grisea,Quercus grisea,Lincoln
395_grisea,Quercus grisea,Lincoln
398_gambelii,Quercus gambelii,Lincoln
400_gambelii,Quercus gambelii,Lincoln
402_gambelii,Quercus gambelii,Lincoln
403_gambelii,Quercus gambelii,Lincoln
404_gambelii,Quercus gambelii,Lincoln
406_grisea,Quercus grisea,Lincoln
408_grisea,Quercus grisea,Lincoln
410_grisea,Quercus grisea,Lincoln
415_gambelii,Quercus gambelii,San Juan
417_gambelii,Quercus gambelii,San Juan
419_gambelii,Quercus gambelii,San Juan
420_gambelii,Quercus gambelii,San Juan
421_gambelii,Quercus gambelii,San Juan
422_gambelii,Quercus gambelii,San Juan
424_gambelii,Quercus gambelii,San Juan
425_gambelii,Quercus gambelii,San Juan
426_grisea,Quercus grisea,Globe
427_grisea,Quercus grisea,Globe
428_grisea,Quercus grisea,Globe
430_grisea,Quercus grisea,Globe
431_turbinella,Quercus turbinella,Globe
432_turbinella,Quercus turbinella,Globe
434_grisea,Quercus grisea,Globe
436_grisea,Quercus grisea,Globe
438_grisea,Quercus grisea,Globe
439_grisea,Quercus grisea,Globe
440_grisea,Quercus grisea,Globe
441_turbinella,Quercus turbinella,Globe
443_turbinella,Quercus turbinella,Globe
444_turbinella,Quercus turbinella,Globe
445_turbinella,Quercus turbinella,Globe
447_turbinella,Quercus turbinella,Globe
448_turbinella,Quercus turbinella,Globe
449_grisea,Quercus grisea,Globe
450_turbinella,Quercus turbinella,Globe
451_turbinella,Quercus turbinella,Globe
452_grisea,Quercus grisea,Globe
453_turbinella,Quercus turbinella,Golden Valley
454_turbinella,Quercus turbinella,Golden Valley
455_turbinella,Quercus turbinella,Golden Valley
456_turbinella,Quercus turbinella,Golden Valley
457_turbinella,Quercus turbinella,Golden Valley
458_turbinella,Quercus turbinella,Golden Valley
459_turbinella,Quercus turbinella,Golden Valley
461_turbinella,Quercus turbinella,Golden Valley
462_turbinella,Quercus turbinella,Golden Valley
466_turbinella,Quercus turbinella,Golden Valley
