pair,Fst
GAM-GRI,0.14938551
GAM-GRI,0.15152103
GAM-GRI,0.152924421
GAM-GRI,0.138786651
GAM-GRI,0.114504675
GAM-GRI,0.14565388
GAM-GRI,0.129981323
GAM-GRI,0.141121464
GAM-GRI,0.147896425
GAM-GRI,0.132877057
GAM-GRI,0.143203758
GAM-GRI,0.148683819
GAM-GRI,0.134255097
GAM-GRI,0.110166133
GAM-GRI,0.133406931
GAM-GRI,0.144357103
GAM-GRI,0.118739672
GAM-GRI,0.093216928
GAM-GRI,0.129294208
GAM-GRI,0.102372032
GAM-TUR,0.148420998
GAM-TUR,0.151591665
GAM-TUR,0.157021466
GAM-TUR,0.145376161
GAM-TUR,0.1301698
GAM-TUR,0.140353274
GAM-TUR,0.14824704
GAM-TUR,0.133068238
GAM-TUR,0.143149401
GAM-TUR,0.154286933
GAM-TUR,0.138716781
GAM-TUR,0.148765037
GRI-TUR,0.001458258
GRI-TUR,0.002812586
GRI-TUR,0.010853525
GRI-TUR,0.004656482
GRI-TUR,0.017893349
GRI-TUR,0.017149444
GRI-TUR,0.017586196
GRI-TUR,0.00344808
GRI-TUR,0.011476973
GRI-TUR,0.015577431
GRI-TUR,0.015252028
GRI-TUR,0.016971968
GRI-TUR,0.028011134
GRI-TUR,0.026022711
GRI-TUR,0.025036755
